rows=5000
cols=3000
(0, 123, 456)
(0, 456, -789)
(0, 789, 1011)
(0, 1011, -1213)
(0, 1314, 1516)
(0, 1617, -1819)
(0, 1920, 2122)
(0, 2223, -2425)
(0, 2526, 2728)
(0, 2829, -3031)
(1, 3233, 3435)
(1, 3536, -3738)
(1, 3839, 4041)
(1, 4142, -4344)
(1, 4445, 4647)
(1, 4748, -4950)
(1, 5051, 5253)
(1, 5354, -5556)
(1, 5657, 5859)
(1, 5960, -6162)
(2, 6363, 6565)
(2, 6666, -6868)
(2, 6969, 7171)
(2, 7272, -7474)
(2, 7575, 7777)
(2, 7878, -8080)
(2, 8181, 8383)
(2, 8484, -8686)
(2, 8787, 8989)
(2, 9090, -9292)
(3, 9493, 9695)
(3, 9796, -9998)
(3, 10099, 10201)
(3, 10302, -10504)
(3, 10605, 10807)
(3, 10908, -11110)
(3, 11211, 11413)
(3, 11514, -11716)
(3, 11817, 12019)
(3, 12120, -12322)
(4, 12423, 12625)
(4, 12726, -12928)
(4, 13029, 13231)
(4, 13332, -13534)
(4, 13635, 13837)
(4, 13938, -14140)
(4, 14241, 14443)
(4, 14544, -14746)
(4, 14847, 15049)
(4, 15150, -15352)
(0, 100, -200)
(0, 200, 300)
(0, 300, -400)
(0, 400, 500)
(0, 500, -600)
(0, 600, 700)
(0, 700, -800)
(0, 800, 900)
(0, 900, -1000)
(0, 1000, 1100)
(1, 1100, -1200)
(1, 1200, 1300)
(1, 1300, -1400)
(1, 1400, 1500)
(1, 1500, -1600)
(1, 1600, 1700)
(1, 1700, -1800)
(1, 1800, 1900)
(1, 1900, -2000)
(1, 2000, 2100)
(2, 2100, -2200)
(2, 2200, 2300)
(2, 2300, -2400)
(2, 2400, 2500)
(2, 2500, -2600)
(2, 2600, 2700)
(2, 2700, -2800)
(2, 2800, 2900)
(2, 2900, -3000)
(2, 3000, 3100)
(3, 3100, -3200)
(3, 3200, 3300)
(3, 3300, -3400)
(3, 3400, 3500)
(3, 3500, -3600)
(3, 3600, 3700)
(3, 3700, -3800)
(3, 3800, 3900)
(3, 3900, -4000)
(3, 4000, 4100)
(4, 4100, -4200)
(4, 4200, 4300)
(4, 4300, -4400)
(4, 4400, 4500)
(4, 4500, -4600)
(4, 4600, 4700)
(4, 4700, -4800)
(4, 4800, 4900)
(4, 4900, -5000)
(4, 5000, 5100)
