rows=5000
cols=3000
(0, 100, 200)
(0, 200, -300)
(0, 300, 400)
(0, 400, -500)
(0, 500, 600)
(0, 600, -700)
(0, 700, 800)
(0, 800, -900)
(0, 900, 1000)
(0, 1000, -1100)
(1, 1100, 1200)
(1, 1200, -1300)
(1, 1300, 1400)
(1, 1400, -1500)
(1, 1500, 1600)
(1, 1600, -1700)
(1, 1700, 1800)
(1, 1800, -1900)
(1, 1900, 2000)
(1, 2000, -2100)
(2, 2100, 2200)
(2, 2200, -2300)
(2, 2300, 2400)
(2, 2400, -2500)
(2, 2500, 2600)
(2, 2600, -2700)
(2, 2700, 2800)
(2, 2800, -2900)
(2, 2900, 3000)
(2, 3000, -3100)
(3, 3100, 3200)
(3, 3200, -3300)
(3, 3300, 3400)
(3, 3400, -3500)
(3, 3500, 3600)
(3, 3600, -3700)
(3, 3700, 3800)
(3, 3800, -3900)
(3, 3900, 4000)
(3, 4000, -4100)
(4, 4100, 4200)
(4, 4200, -4300)
(4, 4300, 4400)
(4, 4400, -4500)
(4, 4500, 4600)
(4, 4600, -4700)
(4, 4700, 4800)
(4, 4800, -4900)
(4, 4900, 5000)
(4, 5000, -5100)
